hip,ra,dec,mag,spect,ci,con,var_min,var_max
1670,0.348498,10.976901,6.57,A0V,0.056,Psc,,
1671,0.348613,46.486,7.97,B9,-0.101,And,,
1672,0.34869,-65.113591,8.41,G8V,0.819,Tuc,,
1673,0.348898,63.667506,8.79,G0,0.537,Cas,,
1674,0.349196,67.667471,7.91,G5,0.815,Cep,,
1675,0.349515,-34.934693,8.01,G8III/IV,0.912,Scl,,
1677,0.349847,12.771652,7.2,A3,0.271,Psc,,
1676,0.349847,47.616862,9.76,A2,0.183,Cas,,
1678,0.350151,-24.252709,10.86,F8,0.49,Cet,10.925,10.775
1679,0.35022,-32.723558,9.31,G3V,0.667,Scl,,
1680,0.350227,29.707653,9.98,G5,0.815,And,,
1681,0.350314,43.713032,8.47,K0,1.168,And,,
1682,0.350813,-9.112004,8.57,G5,0.868,Cet,,
1683,0.350824,-58.760637,8.99,G2IV/V,0.647,Tuc,,
1684,0.351189,-2.909599,6.92,K0,1.036,Psc,,
1685,0.35193,-26.261217,9.34,G0V,0.526,Scl,,
1686,0.352017,37.968603,5.16,F5III,0.442,And,,
1687,0.352263,20.586981,10.06,K3,0.96,Psc,,
1688,0.352564,35.878828,7.37,A0,0.238,And,,
1689,0.352783,25.33831,7.56,M...,1.567,And,,
1690,0.353223,28.904195,9.29,G5,1.043,And,,
1691,0.353646,-3.311823,7.36,F8,0.529,Psc,,
1692,0.3537,-8.281169,9.19,K2,1.354,Cet,,
1693,0.353736,-47.715802,9.5,G2/G3V,0.646,Phe,,
1694,0.354085,-35.798952,7.14,M0III,1.575,Scl,,
1695,0.354888,25.682874,9.02,F8,0.499,And,,
1696,0.355445,-45.746419,10.41,M0,1.475,Phe,10.461,10.321
1697,0.355887,-54.573436,9.15,F0III,0.363,Phe,,
1699,0.355936,27.733614,8.32,F8,0.844,And,,
1698,0.356009,-10.683428,8.69,G5,0.879,Cet,,
1700,0.356163,67.005408,7.23,A1V,0.01,Cep,,
1701,0.356197,33.67997,8.66,K0,0.937,And,,
1702,0.356484,23.115717,9.24,M0,1.589,And,,
1703,0.35711,32.779697,11.58,B9,-0.04,And,11.689,11.509
1704,0.357131,28.326223,7.73,F5,0.419,And,,
1705,0.357681,-48.996557,9.14,F7V,0.508,Phe,9.194,9.094
1706,0.357986,-77.426873,5.96,K3III,1.397,Hyi,,
1707,0.358583,-65.751663,7.26,K2III,1.249,Tuc,,
1708,0.358665,-28.981469,5.18,K0III,1.006,Scl,,
1709,0.35889,26.962131,8.19,K2,1.241,And,,
1710,0.358916,-34.169755,8.1,G5V,0.747,Scl,,
1711,0.359106,46.321645,8.51,A0,0.074,And,,
1712,0.359203,-35.360513,8.56,F7V,0.532,Scl,,
1713,0.359249,-39.429973,10.41,F8,0.442,Phe,,
1714,0.35928,-66.304575,7.36,A0V,0.006,Tuc,,
1715,0.359748,38.18712,6.86,K0,1.094,And,,
1716,0.359834,37.419382,8.9,F5,0.364,And,,
1717,0.359849,57.328054,8.87,K7,1.51,Cas,,
1718,0.359849,-16.207553,8.64,F5V,0.476,Cet,,
1719,0.359928,-66.47633,9.65,,0.835,Tuc,,
1720,0.360374,-46.09261,12.21,M6,1.537,,12.337,11.837
1721,0.360454,36.21742,8.1,A5,0.459,And,,
1722,0.360695,36.253003,8.48,A0,0.352,And,,
1723,0.361073,-47.177556,9.71,K3V,1.036,Phe,9.771,9.631
1724,0.361704,78.479462,8.9,F2,0.39,Cep,,
1725,0.361786,67.823015,6.55,K0,0.981,Cep,,
1726,0.362414,-64.371425,9.09,K2III,1.223,Tuc,,
1727,0.362639,58.339529,10.91,B...,0.45,Cas,10.986,10.806
1728,0.362853,-20.058024,5.61,M5/M6Ib/II,1.58,Cet,6.001,5.341
1729,0.364174,-22.642987,8.44,F7V,0.533,Cet,,
1731,0.364272,-23.386467,8.99,F5V,0.495,Cet,,
1730,0.364277,57.968274,7.92,A0,0.056,Cas,,
1732,0.364577,-23.007979,7.4,G1V,0.631,Cet,,
1733,0.365241,71.244257,8.74,A2,0.19,Cep,,
1734,0.365566,-31.406073,11.16,M2V:,1.485,Scl,,
1735,0.365746,53.480874,8.42,B9,0.09,Cas,8.626,8.386
1736,0.365925,16.87694,7.57,F5,0.48,Psc,,
1737,0.366278,39.638081,10.28,,0.61,And,,
1738,0.366608,7.01166,8.61,K2,1.323,Psc,,
1739,0.366666,-12.010516,8.52,K0III,1.175,Cet,,
1740,0.366691,27.185995,8.7,A2,0.175,And,,
1741,0.367243,42.060464,9.42,F0,0.546,And,,
1742,0.367516,-38.699434,9.31,G8IV/V,0.733,Scl,,
1743,0.367617,62.18508,8.35,B0.2IV,0.14,Cas,,
1744,0.367797,34.819122,9.57,F2,0.424,And,,
1745,0.367795,-24.944988,9.42,G5,0.704,Scl,,
1746,0.367917,-26.709335,8.93,G5V,0.677,Scl,,
1747,0.368124,-63.285088,9.34,G5IV/V,0.771,Tuc,,
1748,0.369002,66.460829,7.78,A5,0.372,Cas,,
1749,0.369075,-38.384866,8.38,A9III,0.318,Scl,,
1750,0.369243,-27.399734,9.59,F6V,0.515,Scl,,
1751,0.369439,-61.297412,7.82,K2III,1.179,Tuc,,
1752,0.370061,-13.465635,8.78,F2V,0.447,Cet,,
1753,0.370111,-43.880986,9.25,F2IV/V,0.385,Phe,9.336,9.186
1754,0.370553,-25.215051,8.42,F2V,0.425,Scl,,
1755,0.370622,-5.191936,7.11,A2,0.146,Psc,,
1756,0.370647,71.508167,7.61,K2,1.505,Cep,,
1757,0.371227,19.129364,9.52,K0,1.168,Psc,,
1758,0.37134,-41.93322,8.88,F5V,0.455,Phe,,
1759,0.371404,24.6794,7.81,A0,0.157,And,,
1760,0.371472,37.761209,7.5,G5,0.979,And,,
